Time,Ay,Vx,Station,Cronometro,AV_Eng,AV_TC,AV_Trans
        7.577, -1.99707055092, 48.1107177734, 93.5025482178, 2.70199990273, 13627.5878906, 13627.5878906, 2672.02856445
        7.578, -1.99715769291, 48.1107635498, 93.5159301758, 2.70300006866, 13627.5839844, 13627.5839844, 2672.02246094
        7.579, -1.99724555016, 48.1108055115, 93.5293121338, 2.70399999619, 13627.5800781, 13627.5800781, 2672.01660156
         7.58, -1.99733412266, 48.1108512878, 93.5426940918, 2.70499992371, 13627.5761719, 13627.5761719, 2672.01074219
        7.581,  -1.997423172, 48.1108970642, 93.5560760498, 2.70600008965, 13627.5722656, 13627.5722656, 2672.00488281
        7.582, -1.99751245975, 48.1109466553, 93.5694580078, 2.70700001717, 13627.5673828, 13627.5673828, 2671.99951172
        7.583, -1.99760186672, 48.1109924316, 93.5828323364, 2.70799994469, 13627.5634766, 13627.5634766, 2671.99414062
        7.584, -1.9976913929, 48.1110420227, 93.5962142944, 2.70900011063, 13627.5585938, 13627.5585938, 2671.98876953
        7.585, -1.99778056145, 48.1110916138, 93.6095962524, 2.71000003815, 13627.5537109, 13627.5537109, 2671.98388672
        7.586, -1.99786937237, 48.1111450195, 93.6229782104, 2.71099996567, 13627.5498047, 13627.5498047, 2671.97900391
        7.587, -1.99795770645, 48.1111946106, 93.6363601685, 2.71199989319, 13627.5449219, 13627.5449219, 2671.97436523
        7.588, -1.99804520607, 48.1112480164, 93.6497421265, 2.71300005913, 13627.5400391, 13627.5400391,  2671.9699707
        7.589, -1.99813187122, 48.1113014221, 93.6631240845, 2.71399998665, 13627.5351562, 13627.5351562, 2671.96582031
         7.59, -1.9982175827, 48.1113548279, 93.6764984131, 2.71499991417, 13627.5292969, 13627.5292969, 2671.96191406
        7.591, -1.99830210209, 48.1114120483, 93.6898803711, 2.71600008011, 13627.5244141, 13627.5244141, 2671.95825195
        7.592, -1.99838519096, 48.1114654541, 93.7032623291, 2.71700000763, 13627.5185547, 13627.5185547, 2671.95483398
        7.593, -1.99846673012, 48.1115226746, 93.7166442871, 2.71799993515, 13627.5136719, 13627.5136719, 2671.95166016
        7.594, -1.99854671955,  48.111579895, 93.7300262451, 2.71900010109, 13627.5078125, 13627.5078125, 2671.94873047
        7.595, -1.99862480164, 48.1116371155, 93.7434082031, 2.72000002861, 13627.5029297, 13627.5029297, 2671.94604492
        7.596, -1.99870097637, 48.1116943359, 93.7567901611, 2.72099995613, 13627.4970703, 13627.4970703, 2671.94360352
        7.597, -1.99877512455, 48.1117515564, 93.7701644897, 2.72199988365, 13627.4912109, 13627.4912109, 2671.94165039
        7.598, -1.99884700775, 48.1118087769, 93.7835464478, 2.72300004959, 13627.4853516, 13627.4853516, 2671.93969727
        7.599, -1.99891650677,  48.111869812, 93.7969284058, 2.72399997711, 13627.4794922, 13627.4794922, 2671.93798828
          7.6, -1.9989836216, 48.1119308472, 93.8103103638, 2.72499990463, 13627.4736328, 13627.4736328, 2671.93676758
        7.601, -1.99904799461, 48.1119880676, 93.8236923218, 2.72600007057, 13627.4677734, 13627.4677734, 2671.93579102
        7.602, -1.99910974503, 48.1120491028, 93.8370742798, 2.72699999809, 13627.4609375, 13627.4609375, 2671.93505859
        7.603, -1.99916863441, 48.1121101379, 93.8504562378, 2.72799992561, 13627.4550781, 13627.4550781, 2671.93457031
        7.604, -1.99922466278, 48.1121673584, 93.8638381958, 2.72900009155, 13627.4492188, 13627.4492188, 2671.93432617
        7.605, -1.99927759171, 48.1122283936, 93.8772125244, 2.73000001907, 13627.4433594, 13627.4433594, 2671.93432617
        7.606, -1.99932742119, 48.1122894287, 93.8905944824, 2.73099994659, 13627.4365234, 13627.4365234, 2671.93481445
        7.607, -1.99937415123, 48.1123504639, 93.9039764404, 2.73200011253, 13627.4306641, 13627.4306641, 2671.93530273
        7.608, -1.9994174242,  48.112411499, 93.9173583984, 2.73300004005, 13627.4248047, 13627.4248047,  2671.9362793
        7.609, -1.99945747852, 48.1124687195, 93.9307403564, 2.73399996758, 13627.4179688, 13627.4179688,     2671.9375
         7.61, -1.99949407578, 48.1125297546, 93.9441223145,  2.7349998951, 13627.4121094, 13627.4121094, 2671.93896484
        7.611, -1.99952721596, 48.1125907898, 93.9575042725, 2.73600006104,   13627.40625,   13627.40625, 2671.94067383
        7.612, -1.99955677986, 48.1126480103, 93.9708862305, 2.73699998856, 13627.3994141, 13627.3994141, 2671.94262695
        7.613, -1.99958276749, 48.1127090454, 93.9842681885, 2.73799991608, 13627.3935547, 13627.3935547, 2671.94482422
        7.614, -1.99960517883, 48.1127662659, 93.9976425171, 2.73900008202, 13627.3876953, 13627.3876953, 2671.94726562
        7.615, -1.9996240139, 48.1128234863, 94.0110244751, 2.74000000954, 13627.3818359, 13627.3818359, 2671.94995117
        7.616, -1.99963915348, 48.1128807068, 94.0244064331, 2.74099993706, 13627.3759766, 13627.3759766, 2671.95288086
        7.617, -1.99965047836, 48.1129379272, 94.0377883911,   2.742000103, 13627.3691406, 13627.3691406, 2671.95605469
        7.618, -1.99965822697, 48.1129951477, 94.0511703491, 2.74300003052, 13627.3632812, 13627.3632812, 2671.95947266
        7.619, -1.99966239929, 48.1130523682, 94.0645523071, 2.74399995804, 13627.3574219, 13627.3574219, 2671.96313477
         7.62, -1.99966275692, 48.1131057739, 94.0779342651, 2.74499988556, 13627.3515625, 13627.3515625, 2671.96704102
        7.621, -1.99965941906, 48.1131629944, 94.0913162231,  2.7460000515, 13627.3466797, 13627.3466797, 2671.97119141
        7.622, -1.99965238571, 48.1132164001, 94.1046981812, 2.74699997902, 13627.3408203, 13627.3408203,  2671.9753418
        7.623, -1.99964153767, 48.1132659912, 94.1180801392, 2.74799990654, 13627.3349609, 13627.3349609, 2671.97998047
        7.624, -1.99962699413,  48.113319397, 94.1314544678, 2.74900007248, 13627.3300781, 13627.3300781, 2671.98461914
        7.625, -1.99960899353,  48.113368988, 94.1448364258,          2.75, 13627.3242188, 13627.3242188, 2671.98925781
        7.626, -1.99958741665, 48.1134185791, 94.1582183838, 2.75099992752, 13627.3193359, 13627.3193359, 2671.99414062
        7.627, -1.99956250191, 48.1134681702, 94.1716003418, 2.75200009346, 13627.3144531, 13627.3144531, 2671.99926758
